iter	Passed	Remaining
1244	233840	705279
1245	234017	705058
1246	234196	704841
1247	234372	704620
1248	234551	704405
1249	234723	704171
1250	234903	703959
1251	235079	703735
1252	235257	703519
1253	235435	703301
1254	235613	703086
1255	235787	702856
1256	235968	702648
1257	236142	702420
1258	236323	702214
1259	236500	701993
1260	236691	701814
1261	236866	701590
1262	237047	701382
1263	237221	701155
1264	237405	700954
1265	237580	700731
1266	237759	700517
1267	237931	700285
1268	238112	700078
1269	238290	699860
1270	238476	699668
1271	238651	699444
1272	238834	699241
1273	239008	699016
1274	239186	698800
1275	239362	698576
1276	239541	698365
1277	239722	698158
1278	239901	697945
1279	240077	697725
1280	240259	697521
1281	240436	697303
1282	240614	697089
1283	240786	696856
1284	240969	696654
1285	241145	696432
1286	241333	696247
1287	241506	696019
1288	241691	695824
1289	241865	695597
1290	242043	695383
1291	242219	695161
1292	242403	694964
1293	242577	694739
1294	242765	694551
1295	242940	694331
1296	243119	694117
1297	243296	693902
1298	243474	693687
1299	243649	693463
1300	243829	693255
1301	244008	693043
1302	244188	692836
1303	244371	692635
1304	244554	692437
1305	244730	692215
1306	244910	692009
1307	245083	691778
1308	245265	691576
1309	245443	691364
1310	245625	691161
1311	245806	690956
1312	245986	690747
1313	246161	690525
1314	246347	690336
1315	246521	690109
1316	246700	689899
1317	246873	689672
1318	247052	689460
1319	247224	689232
1320	247403	689021
1321	247579	688802
1322	247755	688584
1323	247931	688364
1324	248109	688153
1325	248289	687944
1326	248465	687726
1327	248646	687523
1328	248827	687317
1329	249005	687104
1330	249182	686890
1331	249360	686677
1332	249538	686464
1333	249712	686242
1334	249891	686031
1335	250064	685806
1336	250243	685595
1337	250423	685388
1338	250601	685176
1339	250774	684950
1340	250953	684743
1341	251126	684515
1342	251313	684327
1343	251488	684109
1344	251678	683928
1345	251850	683702
1346	252031	683496
1347	252203	683270
1348	252386	683071
1349	252559	682846
1350	252738	682637
1351	252912	682415
1352	253092	682207
1353	253265	681984
1354	253452	681797
1355	253623	681566
1356	253803	681360
1357	253979	681142
1358	254158	680934
1359	254339	680733
1360	254520	680529
1361	254701	680325
1362	254880	680116
1363	255053	679892
1364	255235	679693
1365	255415	679487
1366	255592	679272
1367	255763	679044
1368	255942	678837
1369	256118	678620
1370	256299	678418
1371	256471	678190
1372	256650	677984
1373	256822	677757
1374	257004	677556
1375	257180	677341
1376	257359	677134
1377	257533	676914
1378	257722	676731
1379	257896	676510
1380	258087	676335
1381	258261	676115
1382	258449	675931
1383	258623	675711
1384	258803	675506
1385	258978	675286
1386	259159	675086
1387	259337	674875
1388	259517	674671
1389	259691	674451
1390	259871	674245
1391	260047	674031
1392	260229	673831
1393	260408	673623
1394	260586	673415
1395	260772	673225
1396	260952	673021
1397	261125	672799
1398	261308	672602
1399	261479	672375
1400	261658	672169
1401	261834	671955
1402	262012	671746
1403	262187	671528
1404	262369	671329
1405	262540	671104
1406	262722	670904
1407	262895	670683
1408	263075	670477
1409	263252	670266
1410	263443	670090
1411	263626	669894
1412	263805	669690
1413	263983	669481
1414	264164	669279
1415	264342	669069
1416	264523	668868
1417	264695	668645
1418	264873	668436
1419	265049	668222
1420	265234	668031
1421	265413	667826
1422	265591	667618
1423	265765	667398
1424	265943	667191
1425	266117	666972
1426	266297	666771
1427	266471	666551
1428	266660	666370
1429	266832	666147
1430	267010	665940
